degree,specialization,cgpa,internship,projects,skills,job_role
M.Sc CS,Networking,9.43,No,9,"Networking, Security, Linux, JavaScript, Docker",Network Administrator
M.Sc CS,Cloud Computing,9.02,No,8,"Python, Java, C++, DSA, Git, Firewalls, AWS",Software Developer
MBA,Web Development,5.93,No,10,"Docker, Kubernetes, CI/CD, AWS, Linux, Firewalls, Java",DevOps Engineer
MCA,AI & ML,7.55,Yes,6,"Networking, Security, Linux, MySQL, Docker",Network Administrator
M.Tech CS,Networking,9.72,Yes,0,"Networking, Cyber Security, Linux, Firewalls, JavaScript, Docker",Cyber Security Analyst
M.Sc CS,Web Development,9.95,No,6,"Agile, Scrum, Leadership, Planning, Troubleshooting, Adobe XD",Project Manager
B.Tech CS,Web Development,9.12,No,1,"Python, Java, C++, DSA, Git, SQL, UI",Software Developer
BCA,Data Science,5.57,No,7,"HTML, CSS, JavaScript, React, UI/UX, Swift, Oracle",Frontend Developer
M.Sc CS,AI & ML,9.4,Yes,4,"HTML, CSS, JavaScript, React, Node.js, Git, Windows Server, SQL",Full Stack Developer
M.Tech CS,Data Science,6.5,No,8,"Networking, Security, Linux, Selenium, GCP",Network Administrator
MBA,Web Development,7.76,No,0,"Python, Machine Learning, TensorFlow, Scikit-learn, UX, Leadership",ML Engineer
M.Tech CS,Mobile Development,6.03,No,2,"Excel, Power BI, SQL, Communication, Security, CI/CD",Business Analyst
MCA,Mobile Development,6.44,Yes,2,"HTML, CSS, JavaScript, React, UI/UX, Adobe XD, UX",Frontend Developer
MCA,AI & ML,9.52,No,4,"Docker, Kubernetes, CI/CD, AWS, Linux, Networking, React Native",DevOps Engineer
MCA,AI & ML,6.34,Yes,8,"Troubleshooting, Windows Server, Question/Answer, Kotlin, React",IT Support Specialist
MBA,Web Development,6.2,Yes,10,"AWS, Azure, GCP, Docker, Planning, Python",Cloud Engineer
BCA,Web Development,9.88,Yes,5,"Java, Kotlin, Swift, React Native, Communication, Networking",Mobile Developer
B.Sc Computer Science,AI & ML,8.98,Yes,2,"Troubleshooting, Windows Server, Question/Answer, SQL, REST API",IT Support Specialist
MBA,Networking,6.95,No,0,"Networking, Cyber Security, Linux, Firewalls, REST API, TensorFlow",Cyber Security Analyst
B.Tech IT,Cybersecurity,6.47,No,8,"Networking, Cyber Security, Linux, Firewalls, Kotlin, DSA",Cyber Security Analyst
B.Tech IT,Data Science,7.98,No,7,"Docker, Kubernetes, CI/CD, AWS, Linux, DSA, Selenium",DevOps Engineer
MCA,Web Development,8.2,Yes,0,"Agile, Scrum, Leadership, Planning, HTML, Selenium",Project Manager
B.Tech IT,AI & ML,8.39,Yes,1,"Java, Kotlin, Swift, React Native, React, Agile",Mobile Developer
MCA,Mobile Development,5.95,No,3,"HTML, CSS, JavaScript, React, UI/UX, CI/CD, Machine Learning",Frontend Developer
B.Tech CS,Cloud Computing,6.26,No,6,"Networking, Cyber Security, Linux, Firewalls, Git, React Native",Cyber Security Analyst
M.Tech CS,Mobile Development,6.5,Yes,8,"Networking, Cyber Security, Linux, Firewalls, Python, Pandas",Cyber Security Analyst
BCA,Cybersecurity,5.53,No,3,"Python, SQL, Excel, Power BI, REST API, Planning",Data Analyst
B.Sc Computer Science,Web Development,6.87,No,3,"Java, Kotlin, Swift, React Native, Selenium, UX",Mobile Developer
M.Sc CS,Web Development,6.61,No,0,"Node.js, Python, Java, SQL, REST API, JavaScript, TensorFlow",Backend Developer
B.Tech CS,Software Engineering,9.95,Yes,3,"SQL, Oracle, MySQL, NoSQL, TensorFlow, Figma",Database Administrator
M.Sc CS,Cloud Computing,7.13,Yes,5,"Java, Kotlin, Swift, React Native, Kubernetes, DSA",Mobile Developer
M.Tech CS,Software Engineering,9.11,No,2,"Python, SQL, Excel, Power BI, Leadership, UI",Data Analyst
B.Tech IT,Cloud Computing,8.74,No,1,"Python, SQL, Excel, Power BI, TensorFlow, Selenium",Data Analyst
M.Sc CS,AI & ML,6.95,Yes,7,"AWS, Azure, GCP, Docker, SQL, React Native",Cloud Engineer
MCA,Networking,9.55,No,4,"Java, Kotlin, Swift, React Native, Linux, REST API",Mobile Developer
B.Sc Computer Science,Software Engineering,9.63,Yes,8,"Python, Pandas, Machine Learning, SQL, Statistics, Security, React Native",Data Scientist
M.Tech CS,AI & ML,9.76,Yes,3,"HTML, CSS, JavaScript, React, UI/UX, Node.js, Azure",Frontend Developer
M.Tech CS,Cloud Computing,8.33,No,4,"Troubleshooting, Windows Server, Question/Answer, Networking, JavaScript",IT Support Specialist
B.Sc Computer Science,Cloud Computing,5.67,No,5,"Excel, Power BI, SQL, Communication, Roadmaps, Linux",Business Analyst
M.Tech CS,Software Engineering,8.19,No,4,"Java, Kotlin, Swift, React Native, Cyber Security, React",Mobile Developer
B.Tech CS,Web Development,6.61,No,0,"SQL, Oracle, MySQL, NoSQL, Testing, UX",Database Administrator
MBA,AI & ML,7.41,No,0,"Python, SQL, Excel, Power BI, DSA, JavaScript",Data Analyst
MBA,Web Development,9.88,Yes,7,"Networking, Security, Linux, UI/UX, UI",Network Administrator
MBA,Mobile Development,8.98,Yes,10,"Agile, Leadership, Communication, Roadmaps, Power BI, Azure",Product Manager
B.Sc Computer Science,Data Science,7.86,No,3,"Python, Java, C++, DSA, Git, Scrum, Leadership",Software Developer
M.Tech CS,Data Science,9.08,Yes,9,"Python, Machine Learning, TensorFlow, Scikit-learn, Security, Scrum",ML Engineer
B.Tech CS,Cybersecurity,7.59,No,9,"Python, Machine Learning, TensorFlow, Scikit-learn, Agile, Git",ML Engineer
B.Tech IT,Software Engineering,8.94,No,6,"Figma, Adobe XD, UI, UX, NoSQL, Scikit-learn",UI/UX Designer
M.Sc CS,AI & ML,9.28,Yes,4,"AWS, Azure, GCP, Docker, Firewalls, Roadmaps",Cloud Engineer
B.Sc Computer Science,Mobile Development,6.07,Yes,10,"Python, SQL, Excel, Power BI, Troubleshooting, Statistics",Data Analyst
B.Tech CS,AI & ML,8.38,Yes,10,"Figma, Adobe XD, UI, UX, Swift, Question/Answer",UI/UX Designer
B.Tech IT,Data Science,8.66,No,3,"Networking, Security, Linux, GCP, Excel",Network Administrator
B.Tech CS,Cloud Computing,7.09,Yes,8,"Troubleshooting, Windows Server, Question/Answer, Agile, Oracle",IT Support Specialist
B.Sc Computer Science,Web Development,6.92,Yes,8,"Networking, Security, Linux, C++, React Native",Network Administrator
M.Sc CS,AI & ML,9.4,No,4,"Java, Kotlin, Swift, React Native, Cyber Security, Machine Learning",Mobile Developer
B.Sc Computer Science,Mobile Development,6.01,No,0,"Python, Pandas, Machine Learning, SQL, Statistics, Excel, Figma",Data Scientist
M.Sc CS,Mobile Development,6.34,Yes,9,"Figma, Adobe XD, UI, UX, Azure, CSS",UI/UX Designer
MCA,Web Development,9.68,Yes,7,"Linux, Windows Server, Networking, Statistics, HTML",System Administrator
M.Sc CS,AI & ML,7.41,Yes,6,"Docker, Kubernetes, CI/CD, AWS, Linux, Oracle, Git",DevOps Engineer
B.Sc Computer Science,Mobile Development,9.92,Yes,4,"Networking, Cyber Security, Linux, Firewalls, CI/CD, React",Cyber Security Analyst
B.Tech CS,Web Development,6.87,No,6,"AWS, Azure, GCP, Docker, CI/CD, React Native",Cloud Engineer
MBA,Software Engineering,9.3,Yes,10,"SQL, Oracle, MySQL, NoSQL, AWS, Excel",Database Administrator
B.Tech IT,Web Development,7.04,No,7,"Python, Machine Learning, TensorFlow, Scikit-learn, Windows Server, Scrum",ML Engineer
B.Tech IT,Mobile Development,5.67,Yes,8,"Node.js, Python, Java, SQL, REST API, Networking, Selenium",Backend Developer
MBA,Mobile Development,6.19,No,3,"Python, SQL, Excel, Power BI, Troubleshooting, Linux",Data Analyst
B.Sc Computer Science,Data Science,7.39,No,3,"Networking, Cyber Security, Linux, Firewalls, React, Figma",Cyber Security Analyst
BCA,Networking,9.98,No,10,"Python, Pandas, Machine Learning, SQL, Statistics, REST API, Communication",Data Scientist
MCA,Networking,8.34,No,3,"Docker, Kubernetes, CI/CD, AWS, Linux, Pandas, Excel",DevOps Engineer
B.Tech CS,Networking,6.29,No,10,"Java, Kotlin, Swift, React Native, React, Leadership",Mobile Developer
B.Tech CS,AI & ML,9.24,No,7,"Excel, Power BI, SQL, Communication, Git, HTML",Business Analyst
B.Sc Computer Science,Software Engineering,8.32,Yes,3,"Python, Machine Learning, TensorFlow, Scikit-learn, Roadmaps, Kotlin",ML Engineer
MBA,Networking,9.87,No,1,"Networking, Security, Linux, UI/UX, Planning",Network Administrator
MBA,Networking,9.51,Yes,10,"Python, Machine Learning, TensorFlow, Scikit-learn, UI, Kubernetes",ML Engineer
M.Tech CS,Networking,6.75,Yes,10,"Python, SQL, Excel, Power BI, Scikit-learn, UX",Data Analyst
M.Sc CS,Networking,6.32,No,6,"Linux, Windows Server, Networking, Pandas, JavaScript",System Administrator
B.Tech IT,Networking,6.75,No,6,"Excel, Power BI, SQL, Communication, C++, GCP",Business Analyst
MCA,Cloud Computing,9.12,No,6,"Python, SQL, Excel, Power BI, Security, Kubernetes",Data Analyst
M.Sc CS,Software Engineering,6.22,Yes,3,"Python, SQL, Excel, Power BI, Automation, Machine Learning",Data Analyst
BCA,Data Science,6.86,Yes,10,"Selenium, Testing, Automation, Git, Linux, Power BI",QA/Test Engineer
B.Tech CS,Cloud Computing,9.46,No,9,"Python, Java, C++, DSA, Git, Kubernetes, Swift",Software Developer
B.Tech CS,Networking,7.72,Yes,5,"Python, Java, C++, DSA, Git, Planning, JavaScript",Software Developer
BCA,AI & ML,6.07,Yes,9,"Selenium, Testing, Automation, Git, UI, Swift",QA/Test Engineer
B.Tech IT,Cloud Computing,5.84,Yes,10,"HTML, CSS, JavaScript, React, Node.js, Git, Swift, Excel",Full Stack Developer
B.Tech CS,Software Engineering,9.67,Yes,2,"Python, Machine Learning, TensorFlow, Scikit-learn, HTML, Networking",ML Engineer
BCA,Data Science,8.27,No,9,"Excel, Power BI, SQL, Communication, UX, Question/Answer",Business Analyst
B.Sc Computer Science,Software Engineering,8.35,Yes,2,"Node.js, Python, Java, SQL, REST API, TensorFlow, Roadmaps",Backend Developer
M.Tech CS,Mobile Development,7.94,No,1,"HTML, CSS, JavaScript, React, UI/UX, Swift, UI",Frontend Developer
MCA,Data Science,5.82,Yes,7,"SQL, Oracle, MySQL, NoSQL, Kotlin, Roadmaps",Database Administrator
BCA,Cloud Computing,9.39,No,5,"Linux, Windows Server, Networking, Pandas, Python",System Administrator
B.Tech IT,Software Engineering,8.64,Yes,5,"Figma, Adobe XD, UI, UX, CI/CD, TensorFlow",UI/UX Designer
B.Tech CS,Web Development,6.38,Yes,8,"Python, Java, C++, DSA, Git, Power BI, React Native",Software Developer
B.Tech CS,Software Engineering,6.67,No,10,"Linux, Windows Server, Networking, Adobe XD, Power BI",System Administrator
MCA,Cloud Computing,9.3,No,6,"Selenium, Testing, Automation, Git, AWS, Networking",QA/Test Engineer
BCA,Web Development,6.57,Yes,6,"Agile, Leadership, Communication, Roadmaps, Cyber Security, Windows Server",Product Manager
MCA,AI & ML,7.43,Yes,6,"HTML, CSS, JavaScript, React, UI/UX, Swift, Node.js",Frontend Developer
M.Sc CS,Software Engineering,7.17,Yes,6,"Python, SQL, Excel, Power BI, Docker, UI",Data Analyst
B.Tech IT,Software Engineering,6.06,No,7,"SQL, Oracle, MySQL, NoSQL, Scrum, AWS",Database Administrator
B.Tech IT,Web Development,7.94,Yes,2,"Python, Pandas, Machine Learning, SQL, Statistics, Kotlin, Azure",Data Scientist
M.Sc CS,AI & ML,8.53,No,10,"SQL, Oracle, MySQL, NoSQL, Windows Server, Swift",Database Administrator
M.Tech CS,Web Development,6.68,No,7,"Figma, Adobe XD, UI, UX, Kotlin, Question/Answer",UI/UX Designer
B.Sc Computer Science,Cloud Computing,7.87,Yes,2,"Node.js, Python, Java, SQL, REST API, Testing, Oracle",Backend Developer
MCA,Cloud Computing,7.68,Yes,8,"Agile, Scrum, Leadership, Planning, Java, React",Project Manager
BCA,Software Engineering,8.74,No,4,"Java, Kotlin, Swift, React Native, CI/CD, Machine Learning",Mobile Developer
M.Tech CS,AI & ML,5.95,No,0,"Python, Machine Learning, TensorFlow, Scikit-learn, CSS, Cyber Security",ML Engineer
MCA,Web Development,5.82,No,9,"SQL, Oracle, MySQL, NoSQL, C++, Pandas",Database Administrator
B.Tech CS,Networking,7.71,No,8,"Networking, Cyber Security, Linux, Firewalls, Troubleshooting, HTML",Cyber Security Analyst
M.Tech CS,Software Engineering,7.9,Yes,4,"Python, Java, C++, DSA, Git, Selenium, SQL",Software Developer
M.Tech CS,Mobile Development,9.23,No,0,"Java, Kotlin, Swift, React Native, Testing, TensorFlow",Mobile Developer
B.Sc Computer Science,AI & ML,7.25,No,10,"Selenium, Testing, Automation, Git, Kubernetes, Scrum",QA/Test Engineer
BCA,AI & ML,6.42,No,4,"Networking, Security, Linux, Node.js, MySQL",Network Administrator
MCA,Software Engineering,8.09,No,3,"Python, Machine Learning, TensorFlow, Scikit-learn, Azure, UI/UX",ML Engineer
BCA,Software Engineering,9.17,Yes,6,"Excel, Power BI, SQL, Communication, UI, Linux",Business Analyst
M.Tech CS,Cybersecurity,6.2,Yes,5,"Python, Machine Learning, TensorFlow, Scikit-learn, CSS, Planning",ML Engineer
B.Tech CS,Mobile Development,8.45,Yes,0,"Agile, Scrum, Leadership, Planning, Java, Docker",Project Manager
BCA,AI & ML,6.45,No,5,"Troubleshooting, Windows Server, Question/Answer, Scikit-learn, UX",IT Support Specialist
M.Tech CS,Networking,6.34,Yes,1,"Python, Pandas, Machine Learning, SQL, Statistics, Scrum, GCP",Data Scientist
B.Tech IT,Networking,7.67,No,9,"Agile, Scrum, Leadership, Planning, React, React Native",Project Manager
M.Sc CS,Networking,9.78,Yes,5,"Agile, Scrum, Leadership, Planning, UI/UX, Kotlin",Project Manager
M.Tech CS,Mobile Development,7.2,No,6,"HTML, CSS, JavaScript, React, Node.js, Git, Security, Statistics",Full Stack Developer
M.Tech CS,Cloud Computing,5.64,No,4,"Agile, Leadership, Communication, Roadmaps, Cyber Security, Node.js",Product Manager
BCA,Web Development,6.42,Yes,8,"SQL, Oracle, MySQL, NoSQL, Communication, Cyber Security",Database Administrator
M.Tech CS,Software Engineering,7.51,Yes,9,"Agile, Scrum, Leadership, Planning, Statistics, UI/UX",Project Manager
M.Sc CS,Data Science,7.73,No,1,"Linux, Windows Server, Networking, Figma, Kotlin",System Administrator
BCA,Mobile Development,8.3,Yes,8,"HTML, CSS, JavaScript, React, Node.js, Git, Kubernetes, React Native",Full Stack Developer
M.Tech CS,Software Engineering,7.71,No,5,"Java, Kotlin, Swift, React Native, Figma, Python",Mobile Developer
B.Tech IT,Cybersecurity,9.78,Yes,8,"Agile, Scrum, Leadership, Planning, Roadmaps, Swift",Project Manager
MCA,Networking,9.14,Yes,5,"Selenium, Testing, Automation, Git, Kubernetes, React",QA/Test Engineer
BCA,Cybersecurity,8.89,No,1,"Agile, Leadership, Communication, Roadmaps, Windows Server, MySQL",Product Manager
MCA,Software Engineering,9.06,Yes,8,"HTML, CSS, JavaScript, React, Node.js, Git, Scikit-learn, Automation",Full Stack Developer
MCA,Cybersecurity,5.57,No,9,"Networking, Security, Linux, Azure, Scikit-learn",Network Administrator
B.Tech IT,Networking,6.8,Yes,0,"Linux, Windows Server, Networking, Java, Roadmaps",System Administrator
B.Tech CS,Data Science,8.14,No,2,"SQL, Oracle, MySQL, NoSQL, Communication, AWS",Database Administrator
MCA,AI & ML,8.96,No,7,"Networking, Security, Linux, HTML, UX",Network Administrator
B.Tech IT,Software Engineering,6.78,Yes,10,"Docker, Kubernetes, CI/CD, AWS, Linux, UX, Swift",DevOps Engineer
B.Tech IT,Data Science,6.75,Yes,5,"Docker, Kubernetes, CI/CD, AWS, Linux, Testing, Git",DevOps Engineer
B.Tech CS,Cloud Computing,7.63,No,8,"Java, Kotlin, Swift, React Native, Firewalls, Docker",Mobile Developer
M.Sc CS,Software Engineering,9.87,Yes,9,"Python, SQL, Excel, Power BI, Question/Answer, UI",Data Analyst
MCA,Networking,9.21,Yes,6,"Excel, Power BI, SQL, Communication, REST API, Docker",Business Analyst
B.Tech CS,AI & ML,5.86,Yes,9,"Python, SQL, Excel, Power BI, MySQL, Java",Data Analyst
MBA,Web Development,6.34,No,10,"Troubleshooting, Windows Server, Question/Answer, C++, Firewalls",IT Support Specialist
MCA,Cloud Computing,6.14,Yes,4,"Selenium, Testing, Automation, Git, TensorFlow, UI",QA/Test Engineer
M.Sc CS,Web Development,7.55,No,5,"Networking, Security, Linux, Question/Answer, Statistics",Network Administrator
B.Sc Computer Science,Cybersecurity,7.47,No,8,"Python, Java, C++, DSA, Git, Oracle, Pandas",Software Developer
MCA,Software Engineering,8.5,Yes,6,"Agile, Leadership, Communication, Roadmaps, Windows Server, Security",Product Manager
B.Sc Computer Science,Networking,8.63,No,3,"Docker, Kubernetes, CI/CD, AWS, Linux, Planning, Pandas",DevOps Engineer
MBA,Cloud Computing,9.75,No,6,"Networking, Cyber Security, Linux, Firewalls, Statistics, Scikit-learn",Cyber Security Analyst
B.Tech IT,Cybersecurity,9.58,No,2,"Node.js, Python, Java, SQL, REST API, CI/CD, Automation",Backend Developer
M.Sc CS,Cloud Computing,7.76,Yes,1,"Agile, Scrum, Leadership, Planning, Node.js, Firewalls",Project Manager
B.Tech CS,Networking,6.13,Yes,2,"Linux, Windows Server, Networking, Planning, C++",System Administrator
B.Tech CS,AI & ML,7.84,No,10,"HTML, CSS, JavaScript, React, Node.js, Git, Planning, Networking",Full Stack Developer
B.Tech IT,AI & ML,5.98,Yes,2,"Java, Kotlin, Swift, React Native, HTML, GCP",Mobile Developer
M.Tech CS,Cybersecurity,7.72,No,3,"Node.js, Python, Java, SQL, REST API, Firewalls, Swift",Backend Developer
MBA,Mobile Development,6.7,No,3,"Agile, Scrum, Leadership, Planning, React, Oracle",Project Manager
MCA,AI & ML,8.56,No,2,"Figma, Adobe XD, UI, UX, Oracle, Excel",UI/UX Designer
BCA,Web Development,8.84,No,10,"SQL, Oracle, MySQL, NoSQL, Linux, Question/Answer",Database Administrator
M.Sc CS,Software Engineering,8.16,No,0,"HTML, CSS, JavaScript, React, Node.js, Git, Adobe XD, AWS",Full Stack Developer
MCA,Cybersecurity,7.79,No,7,"Figma, Adobe XD, UI, UX, Linux, Python",UI/UX Designer
BCA,Software Engineering,6.99,No,1,"Excel, Power BI, SQL, Communication, UX, Adobe XD",Business Analyst
M.Sc CS,AI & ML,7.42,Yes,7,"Node.js, Python, Java, SQL, REST API, Figma, UI",Backend Developer
MCA,AI & ML,9.76,Yes,8,"AWS, Azure, GCP, Docker, Testing, REST API",Cloud Engineer
B.Sc Computer Science,Data Science,7.61,No,1,"SQL, Oracle, MySQL, NoSQL, Security, JavaScript",Database Administrator
B.Tech CS,AI & ML,7.62,No,10,"Figma, Adobe XD, UI, UX, Windows Server, React Native",UI/UX Designer
M.Tech CS,Mobile Development,7.48,Yes,10,"Python, Pandas, Machine Learning, SQL, Statistics, Planning, Swift",Data Scientist
B.Tech IT,Data Science,5.98,Yes,7,"Agile, Scrum, Leadership, Planning, Windows Server, MySQL",Project Manager
MBA,Mobile Development,6.5,No,5,"HTML, CSS, JavaScript, React, UI/UX, CI/CD, Leadership",Frontend Developer
B.Tech CS,Software Engineering,9.29,Yes,4,"Node.js, Python, Java, SQL, REST API, Firewalls, Automation",Backend Developer
BCA,AI & ML,7.99,Yes,6,"Agile, Scrum, Leadership, Planning, Excel, UX",Project Manager
B.Sc Computer Science,Networking,9.9,Yes,4,"Excel, Power BI, SQL, Communication, CI/CD, Selenium",Business Analyst
M.Tech CS,Web Development,7.47,No,2,"Networking, Security, Linux, Selenium, Python",Network Administrator
M.Tech CS,Software Engineering,7.32,Yes,10,"Troubleshooting, Windows Server, Question/Answer, UI/UX, Excel",IT Support Specialist
BCA,Web Development,7.46,Yes,5,"SQL, Oracle, MySQL, NoSQL, Adobe XD, Docker",Database Administrator
B.Tech IT,Web Development,6.73,Yes,9,"Python, Pandas, Machine Learning, SQL, Statistics, Linux, Git",Data Scientist
M.Sc CS,Data Science,6.84,Yes,4,"Excel, Power BI, SQL, Communication, CSS, Adobe XD",Business Analyst
MBA,Cloud Computing,5.52,No,8,"Networking, Cyber Security, Linux, Firewalls, Git, Kotlin",Cyber Security Analyst
M.Tech CS,Software Engineering,9.77,Yes,1,"Agile, Scrum, Leadership, Planning, Figma, SQL",Project Manager
B.Sc Computer Science,Software Engineering,8.24,Yes,7,"Agile, Leadership, Communication, Roadmaps, UX, HTML",Product Manager
B.Tech IT,Data Science,6.39,No,2,"Networking, Security, Linux, JavaScript, Figma",Network Administrator
BCA,Data Science,8.36,No,9,"Docker, Kubernetes, CI/CD, AWS, Linux, Testing, MySQL",DevOps Engineer
MCA,Cloud Computing,8.68,No,2,"Linux, Windows Server, Networking, Kubernetes, Machine Learning",System Administrator
MBA,Web Development,9.07,No,1,"Python, SQL, Excel, Power BI, Statistics, Adobe XD",Data Analyst
B.Tech IT,Cybersecurity,7.72,Yes,5,"HTML, CSS, JavaScript, React, UI/UX, Communication, MySQL",Frontend Developer
BCA,Data Science,9.48,Yes,4,"Agile, Leadership, Communication, Roadmaps, Kotlin, Pandas",Product Manager
BCA,Web Development,7.57,No,7,"Java, Kotlin, Swift, React Native, Excel, Scrum",Mobile Developer
M.Sc CS,Data Science,8.22,Yes,0,"Networking, Security, Linux, UI/UX, Node.js",Network Administrator
M.Sc CS,AI & ML,9.83,No,6,"Agile, Scrum, Leadership, Planning, Adobe XD, CSS",Project Manager
M.Sc CS,Cloud Computing,5.69,No,0,"Excel, Power BI, SQL, Communication, CSS, Pandas",Business Analyst
B.Sc Computer Science,Mobile Development,6.33,No,5,"Java, Kotlin, Swift, React Native, Adobe XD, Windows Server",Mobile Developer
BCA,Cybersecurity,6.04,No,7,"Agile, Scrum, Leadership, Planning, Windows Server, Testing",Project Manager
M.Tech CS,AI & ML,6.44,No,10,"Python, Java, C++, DSA, Git, Scikit-learn, Power BI",Software Developer
B.Tech IT,Data Science,7.09,Yes,8,"Linux, Windows Server, Networking, GCP, Machine Learning",System Administrator
MCA,Cybersecurity,6.24,Yes,10,"Excel, Power BI, SQL, Communication, CSS, Node.js",Business Analyst
B.Tech IT,Cloud Computing,8.28,Yes,9,"Java, Kotlin, Swift, React Native, Statistics, REST API",Mobile Developer
B.Tech CS,Cybersecurity,8.69,No,9,"SQL, Oracle, MySQL, NoSQL, Machine Learning, Azure",Database Administrator
B.Sc Computer Science,Software Engineering,5.74,No,10,"HTML, CSS, JavaScript, React, UI/UX, Scrum, Communication",Frontend Developer
BCA,Data Science,6.63,No,0,"Python, Pandas, Machine Learning, SQL, Statistics, Adobe XD, NoSQL",Data Scientist
BCA,Data Science,6.47,Yes,4,"Python, Pandas, Machine Learning, SQL, Statistics, NoSQL, Cyber Security",Data Scientist
MCA,AI & ML,5.95,Yes,8,"Excel, Power BI, SQL, Communication, React Native, Automation",Business Analyst
M.Sc CS,Data Science,7.29,Yes,2,"SQL, Oracle, MySQL, NoSQL, HTML, Docker",Database Administrator
M.Tech CS,Cybersecurity,9.46,Yes,0,"Troubleshooting, Windows Server, Question/Answer, Adobe XD, CI/CD",IT Support Specialist
B.Tech CS,Networking,9.95,Yes,9,"Linux, Windows Server, Networking, Agile, AWS",System Administrator
BCA,Cloud Computing,6.98,No,5,"Python, SQL, Excel, Power BI, Adobe XD, HTML",Data Analyst
MCA,Networking,7.72,Yes,5,"Linux, Windows Server, Networking, UI, Excel",System Administrator
B.Sc Computer Science,Mobile Development,5.57,Yes,3,"Python, Pandas, Machine Learning, SQL, Statistics, Java, Question/Answer",Data Scientist
MCA,Software Engineering,6.12,No,6,"Linux, Windows Server, Networking, MySQL, Selenium",System Administrator
B.Tech IT,Cloud Computing,7.06,Yes,1,"Agile, Leadership, Communication, Roadmaps, Docker, Excel",Product Manager
MCA,Networking,7.34,No,6,"Node.js, Python, Java, SQL, REST API, Roadmaps, React Native",Backend Developer
B.Tech IT,AI & ML,9.62,Yes,5,"SQL, Oracle, MySQL, NoSQL, HTML, Scikit-learn",Database Administrator
MBA,Data Science,6.2,No,9,"Selenium, Testing, Automation, Git, Figma, Oracle",QA/Test Engineer
B.Tech IT,Web Development,9.99,Yes,7,"Linux, Windows Server, Networking, Question/Answer, Kubernetes",System Administrator
MBA,Mobile Development,6.81,Yes,5,"Python, Pandas, Machine Learning, SQL, Statistics, Adobe XD, Java",Data Scientist
B.Tech IT,Software Engineering,6.3,No,4,"Selenium, Testing, Automation, Git, Excel, Machine Learning",QA/Test Engineer
MBA,Web Development,7.1,Yes,2,"Python, Java, C++, DSA, Git, NoSQL, UX",Software Developer
MBA,Cloud Computing,9.61,Yes,5,"Excel, Power BI, SQL, Communication, Networking, Roadmaps",Business Analyst
MBA,Mobile Development,5.82,Yes,5,"Agile, Leadership, Communication, Roadmaps, REST API, TensorFlow",Product Manager
B.Tech CS,Mobile Development,7.97,Yes,1,"Python, Pandas, Machine Learning, SQL, Statistics, Cyber Security, REST API",Data Scientist
B.Tech IT,Cloud Computing,6.26,No,7,"Docker, Kubernetes, CI/CD, AWS, Linux, Agile, Communication",DevOps Engineer
MBA,Data Science,8.84,No,6,"Networking, Cyber Security, Linux, Firewalls, Leadership, Excel",Cyber Security Analyst
BCA,Data Science,7.87,Yes,7,"Networking, Cyber Security, Linux, Firewalls, CSS, Statistics",Cyber Security Analyst
B.Tech IT,Data Science,7.66,No,1,"Networking, Cyber Security, Linux, Firewalls, Testing, Machine Learning",Cyber Security Analyst
B.Tech CS,Software Engineering,6.24,Yes,6,"Python, SQL, Excel, Power BI, CI/CD, Java",Data Analyst
M.Sc CS,Cloud Computing,6.88,No,3,"Linux, Windows Server, Networking, Kotlin, Power BI",System Administrator
B.Sc Computer Science,Networking,9.55,No,3,"HTML, CSS, JavaScript, React, UI/UX, Figma, Oracle",Frontend Developer
B.Tech IT,Networking,6.77,Yes,3,"Networking, Security, Linux, Scrum, Troubleshooting",Network Administrator
BCA,Cloud Computing,9.93,Yes,2,"Networking, Security, Linux, CI/CD, Windows Server",Network Administrator
MCA,Software Engineering,9.35,Yes,7,"Excel, Power BI, SQL, Communication, Swift, AWS",Business Analyst
MBA,AI & ML,8.19,No,0,"Excel, Power BI, SQL, Communication, HTML, Linux",Business Analyst
M.Sc CS,Data Science,6.5,Yes,7,"Agile, Leadership, Communication, Roadmaps, React, Excel",Product Manager
BCA,Networking,5.66,Yes,4,"SQL, Oracle, MySQL, NoSQL, UI/UX, JavaScript",Database Administrator
BCA,Networking,6.92,Yes,10,"Python, Machine Learning, TensorFlow, Scikit-learn, Roadmaps, UX",ML Engineer
M.Sc CS,Cybersecurity,7.64,No,3,"Networking, Cyber Security, Linux, Firewalls, Windows Server, Node.js",Cyber Security Analyst
B.Tech IT,Cloud Computing,9.24,Yes,4,"HTML, CSS, JavaScript, React, Node.js, Git, Java, TensorFlow",Full Stack Developer
M.Sc CS,AI & ML,5.9,Yes,2,"HTML, CSS, JavaScript, React, Node.js, Git, Python, Roadmaps",Full Stack Developer
BCA,Cybersecurity,7.24,No,8,"HTML, CSS, JavaScript, React, UI/UX, Communication, DSA",Frontend Developer
M.Sc CS,Mobile Development,6.59,No,1,"SQL, Oracle, MySQL, NoSQL, Kotlin, Question/Answer",Database Administrator
M.Tech CS,AI & ML,9.27,Yes,7,"Agile, Leadership, Communication, Roadmaps, Cyber Security, Security",Product Manager
B.Tech CS,Data Science,7.07,No,8,"Java, Kotlin, Swift, React Native, GCP, REST API",Mobile Developer
M.Tech CS,Cybersecurity,6.25,Yes,2,"SQL, Oracle, MySQL, NoSQL, Scikit-learn, AWS",Database Administrator
